,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
10,U001,200803720,DEC corp,2020-03-26 10:40:36.875000000,2020.0,1930698352.0,2020-03-25 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,138.6,66,,,,25,3,2020,8,4,2020,16,3,2020,37,716,
11,U001,200794332,COST co,2020-03-25 13:50:13.125000000,2020.0,1930647189.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAX,32715.47,66,,,,13,3,2020,28,3,2020,13,3,2020,21,617,
12,U001,200020431,DEC us,2020-05-16 00:01:31.750000000,2020.0,1930861637.0,2020-05-06 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,174.72,66,,,,6,5,2020,24,5,2020,1,5,2020,37,723,
13,U001,200769623,WAL-MAR associates,2020-03-27 09:57:02.886718750,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,767.78,66,,,,12,3,2020,27,3,2020,12,3,2020,33,3008,0-15
14,CA02,140105785,SHOPPE foundation,2020-04-21 19:13:46.562500000,2020.0,2960624627.0,2020-03-27 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,1980.7199999999998,66,,,,27,3,2020,10,4,2020,31,3,2020,4,2506,0-15
15,U001,200769623,WAL-MAR ,2020-03-19 05:34:59.968750000,2020.0,1930577078.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,14514.68,66,,,,28,2,2020,14,3,2020,28,2,2020,33,3007,0-15
16,U001,200769623,WAL-MAR foundation,2020-04-24 11:10:32.421875000,2020.0,1930774741.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAH4,55400.31,66,,,,10,4,2020,25,4,2020,10,4,2020,33,3012,
17,U001,200772670,ASSOCIAT corporation,2020-04-19 07:41:03.593750000,2020.0,1930765053.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAU5,174766.36,66,,,,9,4,2020,24,4,2020,9,4,2020,47,177,
18,U001,200900909,SYSCO systems,2020-04-13 13:09:36.878906250,2020.0,1930645969.0,2020-03-13 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-13 00:00:00.000000000,NA32,31512.75,66,,,,13,3,2020,14,4,2020,13,3,2020,12,2780,
19,U001,200769623,WAL-MAR systems,2020-04-16 22:37:25.531250000,2020.0,1930718081.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,19701.55,66,,,,30,3,2020,14,4,2020,30,3,2020,33,3015,0-15
20,U001,200726979,BJ'S  trust,2020-04-23 07:59:24.937500000,2020.0,1930788667.0,2020-04-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAA8,132.72,66,,,,16,4,2020,1,5,2020,16,4,2020,19,320,
21,U001,200769623,WAL-MAR llc,2020-04-12 20:25:18.351562500,2020.0,1930709919.0,2020-03-29 00:00:00.000000000,2020-04-13 00:00:00.000000000,2020-03-29 00:00:00.000000000,NAH4,1121.15,66,,,,29,3,2020,13,4,2020,29,3,2020,33,3014,
22,U001,200769623,WAL-MAR llc,2020-04-25 17:42:49.187500000,2020.0,1930752568.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,11394.84,66,,,,6,4,2020,21,4,2020,6,4,2020,33,3014,0-15
23,CA02,140105847,GORDON F co,2020-04-20 01:57:52.812500000,2020.0,2960627274.0,2020-04-08 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,CA10,2579.64,66,,,,8,4,2020,18,4,2020,8,4,2020,4,1116,0-15
24,U001,200744019,TARG foundation,2020-03-28 21:40:08.445312500,2020.0,1930648342.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAA8,52123.3,66,,,,15,3,2020,30,3,2020,15,3,2020,19,2808,
25,U001,200769623,WAL-MAR systems,2020-03-28 13:04:40.906250000,2020.0,1930632791.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAH4,14994.01,66,,,,10,3,2020,25,3,2020,10,3,2020,33,3015,0-15
26,U001,200769623,WAL-MAR llc,2020-03-20 22:40:50.192871094,2020.0,1930617194.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,36.06,66,,,,6,3,2020,21,3,2020,6,3,2020,33,3014,
27,U001,200418007,AM in,2020-04-18 08:44:58.609375000,2020.0,1930752243.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAA8,25836.19,66,,,,6,4,2020,21,4,2020,6,4,2020,19,97,
28,U001,200739006,AL foundation,2020-05-08 19:23:44.375000000,2020.0,1930768064.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,4309.05,66,,,,15,4,2020,30,4,2020,15,4,2020,19,55,0-15
29,U001,100031704,DELHAIZE associates,2020-04-28 06:47:17.562500000,2020.0,1930789873.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,70181.07,66,,,,15,4,2020,30,4,2020,15,4,2020,19,742,
30,U001,200769623,WAL-MAR trust,2020-04-18 03:47:09.062500000,2020.0,1930705172.0,2020-03-28 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-03-28 00:00:00.000000000,NAH4,3403.8,66,,,,28,3,2020,12,4,2020,28,3,2020,33,3016,0-15
31,U001,200744019,TARG systems,2020-05-14 17:01:56.492187500,2020.0,1930620634.0,2020-03-10 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAGD,10665.53,66,,,,10,3,2020,14,5,2020,10,3,2020,32,2811,0-15
32,U001,200769623,WAL-MAR ,2020-04-10 10:11:49.031250000,2020.0,1930676002.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAH4,7280.51,66,,,,21,3,2020,5,4,2020,21,3,2020,33,3007,0-15
33,U001,200726979,BJ'S  corporation,2020-03-17 22:29:23.195312500,2020.0,1930585378.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,13681.7,66,,,,2,3,2020,17,3,2020,2,3,2020,19,315,0-15
34,U001,200706844,WINC associates,2020-04-28 02:22:04.625000000,2020.0,1930773419.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAA8,33947.85,66,,,,7,4,2020,22,4,2020,7,4,2020,19,3070,0-15
35,U001,200793830,M llc,2020-04-24 04:25:34.335937500,2020.0,1930767747.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,4537.14,66,,,,8,4,2020,23,4,2020,8,4,2020,19,1704,0-15
36,U001,200769623,WAL-MAR foundation,2020-04-25 14:54:35.906250000,2020.0,1930750455.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,14355.96,66,,,,6,4,2020,21,4,2020,6,4,2020,33,3012,0-15
37,U001,200769623,WAL-MAR systems,2020-04-18 04:10:09.298828125,2020.0,1930738904.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAH4,367.71,66,,,,3,4,2020,18,4,2020,3,4,2020,33,3015,0-15
38,U001,200769623,WAL-MAR trust,2020-05-21 23:56:31.015625000,2020.0,1930862467.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAH4,56284.77,66,,,,6,5,2020,21,5,2020,6,5,2020,33,3016,0-15
39,U001,200769623,WAL-MAR systems,2020-03-16 01:08:47.539062500,2020.0,1930582162.0,2020-02-29 00:00:00.000000000,2020-03-15 00:00:00.000000000,2020-02-29 00:00:00.000000000,NAH4,50493.86,66,,,,29,2,2020,15,3,2020,29,2,2020,33,3015,0-15
40,U001,200769623,WAL-MAR llc,2020-05-10 18:26:51.625000000,2020.0,1930802490.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,15489.43,66,,,,21,4,2020,6,5,2020,21,4,2020,33,3014,0-15
41,CA02,140104423,METRO  llc,2020-03-09 15:10:32.273437500,2020.0,2960617050.0,2020-02-27 00:00:00.000000000,2020-03-11 00:00:00.000000000,2020-03-01 00:00:00.000000000,CA10,93179.35199999998,66,,,,27,2,2020,11,3,2020,1,3,2020,4,1872,
42,U001,200726979,BJ'S  systems,2020-04-29 18:02:41.500000000,2020.0,1930801417.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAA8,360.33,66,,,,19,4,2020,4,5,2020,19,4,2020,19,319,
43,U001,200743996,STATER  llc,2020-05-20 14:54:07.812500000,2020.0,1930660304.0,2020-03-16 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAGD,3826.03,66,,,,16,3,2020,20,5,2020,16,3,2020,32,2634,0-15
44,U001,200752302,KROGER trust,2020-04-15 18:05:32.484375000,2020.0,1930733767.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,96674.05,66,,,,2,4,2020,17,4,2020,2,4,2020,19,1579,
45,CA02,140105686,SYSC llc,2020-05-22 11:14:42.187500000,2020.0,2960633120.0,2020-05-06 00:00:00.000000000,2020-05-18 00:00:00.000000000,2020-05-08 00:00:00.000000000,CA10,43230.299,66,,,,6,5,2020,18,5,2020,8,5,2020,4,2728,0-15
46,U001,200711029,WEGMAN corp,2020-04-26 18:05:07.375000000,2020.0,1930742932.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,14382.22,66,,,,3,4,2020,18,4,2020,3,4,2020,19,3038,0-15
47,CA02,2001,KRAFT  corporation,2020-05-05 05:23:57.500000000,2020.0,2960622220.0,2020-03-20 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAG2,17828.068999999996,66,,,,20,3,2020,27,4,2020,23,3,2020,31,1512,0-15
48,U001,200769623,WAL-MAR llc,2020-05-08 21:57:08.796875000,2020.0,1930804924.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,35509.95,66,,,,21,4,2020,6,5,2020,21,4,2020,33,3014,0-15
49,U001,200769623,WAL-MAR associates,2020-04-25 07:53:10.656250000,2020.0,1930746955.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAH4,13512.61,66,,,,5,4,2020,20,4,2020,5,4,2020,33,3008,0-15
50,U001,200772670,ASSOCIAT corp,2020-04-08 16:03:36.292968750,2020.0,1930698156.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAU5,24421.33,66,,,,24,3,2020,8,4,2020,24,3,2020,47,176,0-15
51,U001,200769623,WAL-MAR co,2020-05-08 16:01:19.843750000,2020.0,1930801200.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAH4,11217.33,66,,,,19,4,2020,4,5,2020,19,4,2020,33,3009,0-15
52,U001,200769623,WAL-MAR systems,2020-05-02 20:36:53.343750000,2020.0,1930776682.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAH4,12554.13,66,,,,13,4,2020,28,4,2020,13,4,2020,33,3015,0-15
53,U001,200720238,WOODM co,2020-05-25 05:00:38.875000000,2020.0,1930858727.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAA8,126919.03,66,,,,6,5,2020,21,5,2020,6,5,2020,19,2936,0-15
54,CA02,140106408,WAL-M in,2020-05-18 19:04:21.125000000,2020.0,2960631200.0,2020-04-25 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-25 00:00:00.000000000,CA10,28537.684,66,,,,25,4,2020,5,5,2020,25,4,2020,4,3002,0-15
55,U001,200769623,WAL-MAR co,2020-04-18 19:15:33.218750000,2020.0,1930729999.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,24834.9,66,,,,1,4,2020,16,4,2020,1,4,2020,33,3009,0-15
56,U001,200769623,WAL-MAR us,2020-03-31 00:47:18.046875000,2020.0,1930653060.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,50202.83,66,,,,15,3,2020,30,3,2020,15,3,2020,33,3017,0-15
57,U001,200769623,WAL-MAR us,2020-04-19 20:47:38.250000000,2020.0,1930715979.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,8299.7,66,,,,1,4,2020,16,4,2020,1,4,2020,33,3017,0-15
58,U001,200799367,MCL corporation,2020-04-05 11:07:11.640625000,2020.0,1930673430.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAA8,51602.13,66,,,,24,3,2020,8,4,2020,24,3,2020,19,1810,
59,U001,200759878,SA co,2020-04-28 00:00:40.539062500,2020.0,1930783249.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAH4,18900.99,66,,,,14,4,2020,29,4,2020,14,4,2020,33,2394,
60,U001,200794332,COST corp,2020-03-24 17:17:46.875000000,2020.0,1930638145.0,2020-03-14 00:00:00.000000000,2020-03-29 00:00:00.000000000,2020-03-14 00:00:00.000000000,NAAX,49467.7,66,,,,14,3,2020,29,3,2020,14,3,2020,21,618,
61,U001,200515231,US  us,2020-04-28 16:21:34.531250000,2020.0,1930768145.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,10187.66,66,,,,9,4,2020,24,4,2020,9,4,2020,19,2928,0-15
62,U001,200782669,SYGMA corp,2020-03-24 22:41:37.312500000,2020.0,1930636977.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAA8,237.4,66,,,,13,3,2020,28,3,2020,13,3,2020,19,2712,
63,U001,200769623,WAL-MAR foundation,2020-05-31 14:49:27.718750000,2020.0,1930882979.0,2020-05-12 00:00:00.000000000,2020-05-27 00:00:00.000000000,2020-05-12 00:00:00.000000000,NAH4,11532.84,66,,,,12,5,2020,27,5,2020,12,5,2020,33,3012,0-15
64,U001,200769623,WAL-MAR ,2020-04-11 13:42:32.500000000,2020.0,1930692833.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,20017.92,66,,,,24,3,2020,8,4,2020,24,3,2020,33,3007,0-15
65,U001,200331749,SYSC foundation,2020-03-18 08:48:04.937500000,2020.0,1930579080.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5320.85,66,,,,28,2,2020,14,3,2020,28,2,2020,19,2726,0-15
66,U001,200772670,ASSOCIAT associates,2020-05-08 16:03:36.292968750,2020.0,1930819529.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAU5,30900.83,66,,,,23,4,2020,8,5,2020,23,4,2020,47,174,0-15
67,U001,200772670,ASSOCIAT us,2020-04-15 13:53:54.390625000,2020.0,1930736164.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAU5,65843.26,66,,,,2,4,2020,17,4,2020,2,4,2020,47,183,
68,U001,200706844,WINC foundation,2020-03-22 00:04:59.609375000,2020.0,1930599854.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,359.44,66,,,,4,3,2020,19,3,2020,4,3,2020,19,3074,0-15
69,U001,100043975,JAVA ,2020-04-23 10:30:26.500000000,2020.0,1930740345.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,1427.36,66,,,,3,4,2020,18,4,2020,3,4,2020,19,2936,0-15
70,U001,200762301,C&S WH in,2020-03-16 22:08:06.218750000,2020.0,1930592552.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAC6,99091.71,66,,,,4,3,2020,19,3,2020,4,3,2020,25,433,
71,U001,200148860,DOLLA associates,2020-06-03 21:51:03.125000000,2020.0,1930732920.0,2020-04-03 00:00:00.000000000,2020-06-07 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAGD,6543.44,66,,,,3,4,2020,7,6,2020,3,4,2020,32,807,
72,CA02,100027744,OMEGA AD in,2020-05-20 09:09:42.632812500,2020.0,2960635652.0,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,CAB1,4924.5,66,,,,19,5,2020,19,5,2020,19,5,2020,6,2030,0-15
73,U001,100031704,DELHAIZE co,2020-03-17 00:26:44.992187500,2020.0,1930585468.0,2020-03-01 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAA8,106394.18,66,,,,1,3,2020,16,3,2020,1,3,2020,19,743,0-15
74,U001,200799420,HT HA foundation,2020-04-11 00:50:52.296875000,2020.0,1930703225.0,2020-03-25 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAA8,801.1,66,,,,25,3,2020,9,4,2020,25,3,2020,19,2936,0-15
75,U001,200974851,RESTA systems,2020-04-06 19:23:38.093750000,2020.0,1930706997.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,3566.69,66,,,,26,3,2020,10,4,2020,26,3,2020,19,2323,
76,U001,200769623,WAL-MAR in,2020-05-17 17:44:12.031250000,2020.0,1930830709.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,8885.57,66,,,,28,4,2020,13,5,2020,28,4,2020,33,3013,0-15
77,U001,200793568,SUPE llc,2020-03-30 10:22:05.187500000,2020.0,1930630388.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAA8,15893.27,66,,,,10,3,2020,25,3,2020,10,3,2020,19,2675,0-15
78,U001,200759878,SA foundation,2020-03-18 00:05:12.921875000,2020.0,1930609945.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,70180.8,66,,,,6,3,2020,21,3,2020,6,3,2020,33,2397,
79,U001,200712187,SPAR in,2020-05-02 12:39:56.875000000,2020.0,1930806222.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,119384.36,66,,,,20,4,2020,5,5,2020,20,4,2020,19,2614,
80,U001,100047532,KEYSTON associates,2020-03-31 23:34:11.125000000,2020.0,1930592834.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,11852.54,66,,,,4,3,2020,19,3,2020,4,3,2020,19,2936,0-15
81,U001,200794332,COST co,2020-03-18 20:35:38.035156250,2020.0,1930562584.0,2020-02-28 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-02-28 00:00:00.000000000,NA84,11225.42,66,,,,28,2,2020,19,3,2020,28,2,2020,16,617,
82,U001,200148860,DOLLA associates,2020-05-24 02:25:49.625000000,2020.0,1930699340.0,2020-03-25 00:00:00.000000000,2020-05-29 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAGD,5456.75,66,,,,25,3,2020,29,5,2020,25,3,2020,32,807,
83,U001,200794332,COST llc,2020-05-18 16:55:58.718750000,2020.0,1930862420.0,2020-05-08 00:00:00.000000000,2020-05-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,NAAX,81500.86,66,,,,8,5,2020,23,5,2020,8,5,2020,21,622,
84,U001,200555117,BURR trust,2020-04-07 13:36:06.000000000,2020.0,1930709963.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAA8,749.14,66,,,,27,3,2020,11,4,2020,27,3,2020,19,381,
85,U001,200769623,WAL-MAR in,2020-05-26 17:43:26.875000000,2020.0,1930878284.0,2020-05-09 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,NAH4,2219.89,66,,,,9,5,2020,24,5,2020,9,5,2020,33,3013,0-15
86,U001,200772670,ASSOCIAT corp,2020-04-05 14:20:42.882812500,2020.0,1930683241.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAU5,15489.78,66,,,,21,3,2020,5,4,2020,21,3,2020,47,176,0-15
87,U001,200707822,PUBLI corporation,2020-05-16 01:21:07.203125000,2020.0,1930857983.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAA8,126107.91,66,,,,4,5,2020,19,5,2020,4,5,2020,19,2223,
88,CA02,140104392,FLANAG us,2020-04-04 03:16:50.875000000,2020.0,2960619205.0,2020-03-06 00:00:00.000000000,2020-03-20 00:00:00.000000000,2020-03-10 00:00:00.000000000,CA10,2528.673,66,,,,6,3,2020,20,3,2020,10,3,2020,4,2936,16-30
89,U001,200769623,WAL-MAR corp,2020-05-17 16:23:03.937500000,2020.0,1930831780.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,11545.38,66,,,,28,4,2020,13,5,2020,28,4,2020,33,3010,0-15
90,U001,200759878,SA systems,2020-04-11 20:19:04.750000000,2020.0,1930717567.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,47646.57,66,,,,31,3,2020,15,4,2020,31,3,2020,33,2400,
91,U001,200705742,DOT foundation,2020-03-08 08:02:15.406250000,2020.0,1930581678.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5932.51,66,,,,28,2,2020,14,3,2020,28,2,2020,19,839,
92,U001,200793568,SUPE trust,2020-04-10 23:13:06.906250000,2020.0,1930690537.0,2020-03-23 00:00:00.000000000,2020-04-07 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAA8,1635.76,66,,,,23,3,2020,7,4,2020,23,3,2020,19,2677,0-15
93,U001,200726979,BJ'S  ,2020-03-25 10:55:14.812500000,2020.0,1930646128.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,1286.3,66,,,,12,3,2020,27,3,2020,12,3,2020,19,311,
94,U001,200704858,WAKE corp,2020-04-26 13:32:39.125000000,2020.0,1930762384.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,99568.42,66,,,,9,4,2020,24,4,2020,9,4,2020,19,2979,0-15
95,U001,200780383,MEIJ in,2020-03-31 18:20:12.210937500,2020.0,1930665025.0,2020-03-18 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-18 00:00:00.000000000,NAA8,3612.63,66,,,,18,3,2020,2,4,2020,18,3,2020,19,1847,
